Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D6, D7, D8, D9",D_SOD-123,49,Diode,
D51,D_SOD-123,1,D_Schottky,
JSOL1,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Conn_01x02_MountingPin,
Q1,TO-220-3_Horizontal_TabDown,1,Q_NMOS_GDS,
R1,0805,1,100,
R2,0805,1,100k,
S1,SW_Cherry_MX_1.00u_PCB,1,m1,
S10,SW_Cherry_MX_1.00u_PCB,1,I,
S11,SW_Cherry_MX_1.00u_PCB,1,O,
S12,SW_Cherry_MX_1.00u_PCB,1,P,
S13,SW_Cherry_MX_1.50u_PCB,1,Backspace,
S14,SW_Cherry_MX_1.00u_PCB,1,m4,
S15,SW_Cherry_MX_1.00u_PCB,1,m2,
S16,SW_Cherry_MX_1.25u_PCB,1,Tab,
S17,SW_Cherry_MX_1.00u_PCB,1,A,
S18,SW_Cherry_MX_1.00u_PCB,1,S,
S19,SW_Cherry_MX_1.00u_PCB,1,D,
S2,SW_Cherry_MX_1.00u_PCB,1,Esc,
S20,SW_Cherry_MX_1.00u_PCB,1,F,
S21,SW_Cherry_MX_1.00u_PCB,1,G,
S22,SW_Cherry_MX_1.00u_PCB,1,H,
S23,SW_Cherry_MX_1.00u_PCB,1,J,
S24,SW_Cherry_MX_1.00u_PCB,1,K,
S25,SW_Cherry_MX_1.00u_PCB,1,L,
S26,SW_Cherry_MX_1.00u_PCB,1,;,
S27,SW_Cherry_MX_1.25u_PCB,1,Enter,
S28,SW_Cherry_MX_1.00u_PCB,1,m5,
S29,SW_Cherry_MX_1.00u_PCB,1,m3,
S3,SW_Cherry_MX_1.00u_PCB,1,Q,
S30,SW_Cherry_MX_1.75u_PCB,1,Shift,
S31,SW_Cherry_MX_1.00u_PCB,1,Z,
S32,SW_Cherry_MX_1.00u_PCB,1,X,
S33,SW_Cherry_MX_1.00u_PCB,1,C,
S34,SW_Cherry_MX_1.00u_PCB,1,V,
S35,SW_Cherry_MX_1.00u_PCB,1,B,
S36,SW_Cherry_MX_1.00u_PCB,1,N,
S37,SW_Cherry_MX_1.00u_PCB,1,M,
S38,SW_Cherry_MX_1.00u_PCB,1,",",
S39,SW_Cherry_MX_1.00u_PCB,1,Up,
S4,SW_Cherry_MX_1.00u_PCB,1,W,
S40,SW_Cherry_MX_1.75u_PCB,1,Fn,
S41,SW_Cherry_MX_1.00u_PCB,1,m6,
S42,SW_Cherry_MX_1.00u_PCB,1,Ctrl,
S43,SW_Cherry_MX_1.00u_PCB,1,Windows,
S44,SW_Cherry_MX_1.00u_PCB,1,Alt,
S45,SW_Cherry_MX_2.25u_PCB,1,LeftSpace,
S46,SW_Cherry_MX_2.75u_PCB,1,RightSpace,
S47,SW_Cherry_MX_1.00u_PCB,1,Left,
S48,SW_Cherry_MX_1.00u_PCB,1,Down,
S49,SW_Cherry_MX_1.00u_PCB,1,Right,
S5,SW_Cherry_MX_1.00u_PCB,1,E,
S6,SW_Cherry_MX_1.00u_PCB,1,R,
S7,SW_Cherry_MX_1.00u_PCB,1,T,
S8,SW_Cherry_MX_1.00u_PCB,1,Y,
S9,SW_Cherry_MX_1.00u_PCB,1,U,
U1,RP2040_Zero,1,RP2040_Zero,
