Designator,Mid X,Mid Y,Rotation,Layer
S1,37.135,-36.94,0.0,top
S10,213.3475,-36.94,0.0,top
S11,232.3975,-36.94,0.0,top
S12,251.4475,-36.94,0.0,top
S13,275.26,-36.94,0.0,top
S14,303.835,-36.94,0.0,top
S15,37.135,-55.99,0.0,top
S16,63.32875,-55.99,0.0,top
S17,84.76,-55.99,0.0,top
S18,103.81,-55.99,0.0,top
S19,122.86,-55.99,0.0,top
S2,60.9475,-36.94,0.0,top
S20,141.91,-55.99,0.0,top
S21,160.96,-55.99,0.0,top
S22,180.01,-55.99,0.0,top
S23,199.06,-55.99,0.0,top
S24,218.11,-55.99,0.0,top
S25,237.16,-55.99,0.0,top
S26,256.21,-55.99,0.0,top
S27,277.64125,-55.99,0.0,top
S28,303.835,-55.99,0.0,top
S29,37.135,-75.04,0.0,top
S3,79.9975,-36.94,0.0,top
S30,68.09125,-75.04,0.0,top
S31,94.285,-75.04,0.0,top
S32,113.335,-75.04,0.0,top
S33,132.385,-75.04,0.0,top
S34,151.435,-75.04,0.0,top
S35,170.485,-75.04,0.0,top
S36,189.535,-75.04,0.0,top
S37,208.585,-75.04,0.0,top
S38,227.635,-75.04,0.0,top
S39,246.685,-77.9875,0.0,top
S4,99.0475,-36.94,0.0,top
S40,272.87875,-77.9875,0.0,top
S41,303.835,-75.04,0.0,top
S42,75.235,-94.09,0.0,top
S43,94.285,-94.09,0.0,top
S44,113.335,-94.09,0.0,top
S45,144.29125,-94.09,0.0,top
S46,191.91625,-94.09,0.0,top
S47,227.635,-94.09,0.0,top
S48,246.685,-94.09,0.0,top
S49,265.735,-94.09,0.0,top
S5,118.0975,-36.94,0.0,top
S6,137.1475,-36.94,0.0,top
S7,156.1975,-36.94,0.0,top
S8,175.2475,-36.94,0.0,top
S9,194.2975,-36.94,0.0,top
U2,177.965,-57.305,180.0,top
U3,211.95,5.675,270.0,top
